b'id',b'lat',b'lon',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'29938968',b'-6.1803773',b'106.8231235',b'harrymahar',b'617226',b'29',b'43665045',b'2016-11-15T09:17:43Z'
b'29938969',b'-6.1808942',b'106.8230941',b'harrymahar',b'617226',b'10',b'43195079',b'2016-10-26T15:32:32Z'
b'29938971',b'-6.1805893',b'106.8225613',b'Irfan Muhammad',b'646006',b'10',b'20029239',b'2014-01-16T08:18:23Z'
b'29938972',b'-6.1805659',b'106.8232191',b'Irfan Muhammad',b'646006',b'11',b'20029239',b'2014-01-16T08:18:23Z'
b'29938988',b'-6.1828485',b'106.8298062',b'dennisramadhan',b'2340253',b'17',b'49184255',b'2017-06-02T05:49:05Z'
b'29938989',b'-6.1833862',b'106.8296804',b'Firman Hadi',b'76518',b'4',b'807134',b'2008-11-29T09:38:28Z'
b'29938990',b'-6.1853017',b'106.8292517',b'adam maulana',b'5506020',b'12',b'47470042',b'2017-04-05T09:34:28Z'
b'29938991',b'-6.1871208',b'106.8268344',b'harrymahar',b'617226',b'10',b'43342181',b'2016-11-02T03:53:17Z'
b'29939000',b'-6.1803395',b'106.8227522',b'Irfan Muhammad',b'646006',b'10',b'20029239',b'2014-01-16T08:18:23Z'
b'29939004',b'-6.171622',b'106.8232999',b'dennisramadhan',b'2340253',b'16',b'49184255',b'2017-06-02T05:49:05Z'
b'29939005',b'-6.1714545',b'106.8236132',b'dennisramadhan',b'2340253',b'18',b'49184255',b'2017-06-02T05:49:05Z'
b'29939007',b'-6.171451',b'106.8255433',b'dennisramadhan',b'2340253',b'10',b'49184255',b'2017-06-02T05:49:05Z'
b'29939013',b'-6.1674357',b'106.8258228',b'Mettal',b'515232',b'15',b'44308554',b'2016-12-10T18:02:02Z'
b'29939017',b'-6.1680694',b'106.8313157',b'Febrina Dewi',b'617262',b'18',b'50345328',b'2017-07-17T09:37:11Z'
b'29939019',b'-6.1683171',b'106.8321518',b'Mettal',b'515232',b'14',b'44308554',b'2016-12-10T18:02:02Z'
b'29939026',b'-6.1719608',b'106.8340261',b'Mettal',b'515232',b'10',b'44308554',b'2016-12-10T18:02:02Z'
b'29939033',b'-6.1727488',b'106.830183',b'David & Christine Schmitt',b'26818',b'18',b'32737298',b'2015-07-19T17:29:48Z'
b'29939035',b'-6.173061',b'106.8300634',b'Mettal',b'515232',b'17',b'44308554',b'2016-12-10T18:02:02Z'
b'29939036',b'-6.1736586',b'106.8302351',b'dennisramadhan',b'2340253',b'18',b'49184255',b'2017-06-02T05:49:05Z'
b'29939040',b'-6.1775956',b'106.8313765',b'Firman Hadi',b'76518',b'30',b'741267',b'2009-01-05T17:13:00Z'
b'29939058',b'-6.1801844',b'106.83085',b'Firman Hadi',b'76518',b'25',b'16707193',b'2013-06-26T01:09:40Z'
