b'id',b'key',b'value',b'type'
b'29939040',b'created_by',b'Merkaartor 0.12',b'regular'
b'29939040',b'created_by',b'Merkaartor 0.12',b'regular'
b'29939040',b'created_by',b'Merkaartor 0.12',b'regular'
b'29939040',b'created_by',b'Merkaartor 0.12',b'regular'
b'29939066',b'name',b'Ancol',b'regular'
b'29939066',b'name',b'Ancol',b'regular'
b'29939066',b'name',b'Ancol',b'regular'
b'29939066',b'name',b'Ancol',b'regular'
b'29939066',b'tourism',b'theme_park',b'regular'
b'29939066',b'tourism',b'theme_park',b'regular'
b'29939066',b'tourism',b'theme_park',b'regular'
b'29939066',b'tourism',b'theme_park',b'regular'
b'29939066',b'alt_name',b'Taman Impian Jaya Ancol',b'regular'
b'29939066',b'alt_name',b'Taman Impian Jaya Ancol',b'regular'
b'29939066',b'alt_name',b'Taman Impian Jaya Ancol',b'regular'
b'29939066',b'alt_name',b'Taman Impian Jaya Ancol',b'regular'
b'29939066',b'created_by',b'Potlatch 0.10f',b'regular'
b'29939066',b'created_by',b'Potlatch 0.10f',b'regular'
b'29939066',b'created_by',b'Potlatch 0.10f',b'regular'
b'29939066',b'created_by',b'Potlatch 0.10f',b'regular'
b'29939561',b'ref',b'10',b'regular'
b'29939561',b'ref',b'10',b'regular'
b'29939561',b'ref',b'10',b'regular'
b'29939561',b'ref',b'10',b'regular'
b'29939561',b'name',b'Cempaka Timur',b'regular'
b'29939561',b'name',b'Cempaka Timur',b'regular'
b'29939561',b'name',b'Cempaka Timur',b'regular'
b'29939561',b'name',b'Cempaka Timur',b'regular'
b'29939561',b'highway',b'motorway_junction',b'regular'
b'29939561',b'highway',b'motorway_junction',b'regular'
b'29939561',b'highway',b'motorway_junction',b'regular'
b'29939561',b'highway',b'motorway_junction',b'regular'
b'29939606',b'ref',b'2',b'regular'
b'29939606',b'ref',b'2',b'regular'
b'29939606',b'ref',b'2',b'regular'
b'29939606',b'ref',b'2',b'regular'
b'29939606',b'name',b'Jatinegara',b'regular'
b'29939606',b'name',b'Jatinegara',b'regular'
b'29939606',b'name',b'Jatinegara',b'regular'
b'29939606',b'name',b'Jatinegara',b'regular'
b'29939606',b'highway',b'motorway_junction',b'regular'
b'29939606',b'highway',b'motorway_junction',b'regular'
b'29939606',b'highway',b'motorway_junction',b'regular'
b'29939606',b'highway',b'motorway_junction',b'regular'
b'29939632',b'name',b'Jakarta',b'regular'
b'29939632',b'name',b'Jakarta',b'regular'
b'29939632',b'name',b'Jakarta',b'regular'
b'29939632',b'name',b'Jakarta',b'regular'
b'29939632',b'place',b'city',b'regular'
b'29939632',b'place',b'city',b'regular'
b'29939632',b'place',b'city',b'regular'
b'29939632',b'place',b'city',b'regular'
b'29939632',b'capital',b'yes',b'regular'
b'29939632',b'capital',b'yes',b'regular'
b'29939632',b'capital',b'yes',b'regular'
b'29939632',b'capital',b'yes',b'regular'
b'29939632',b'af',b'Djakarta',b'name'
b'29939632',b'af',b'Djakarta',b'name'
b'29939632',b'af',b'Djakarta',b'name'
b'29939632',b'af',b'Djakarta',b'name'
b'29939632',b'am',b'\xe1\x8c\x83\xe1\x8a\xab\xe1\x88\xad\xe1\x89\xb3',b'name'
b'29939632',b'am',b'\xe1\x8c\x83\xe1\x8a\xab\xe1\x88\xad\xe1\x89\xb3',b'name'
b'29939632',b'am',b'\xe1\x8c\x83\xe1\x8a\xab\xe1\x88\xad\xe1\x89\xb3',b'name'
b'29939632',b'am',b'\xe1\x8c\x83\xe1\x8a\xab\xe1\x88\xad\xe1\x89\xb3',b'name'
b'29939632',b'ar',b'\xd8\xac\xd8\xa7\xd9\x83\xd8\xb1\xd8\xaa\xd8\xa7',b'name'
b'29939632',b'ar',b'\xd8\xac\xd8\xa7\xd9\x83\xd8\xb1\xd8\xaa\xd8\xa7',b'name'
b'29939632',b'ar',b'\xd8\xac\xd8\xa7\xd9\x83\xd8\xb1\xd8\xaa\xd8\xa7',b'name'
b'29939632',b'ar',b'\xd8\xac\xd8\xa7\xd9\x83\xd8\xb1\xd8\xaa\xd8\xa7',b'name'
b'29939632',b'az',b'Cakarta',b'name'
b'29939632',b'az',b'Cakarta',b'name'
b'29939632',b'az',b'Cakarta',b'name'
b'29939632',b'az',b'Cakarta',b'name'
b'29939632',b'ba',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
b'29939632',b'ba',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
b'29939632',b'ba',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
b'29939632',b'ba',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
b'29939632',b'be',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
b'29939632',b'be',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
b'29939632',b'be',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
b'29939632',b'be',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
b'29939632',b'bg',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
b'29939632',b'bg',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
b'29939632',b'bg',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
b'29939632',b'bg',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
b'29939632',b'bn',b'\xe0\xa6\x9c\xe0\xa6\xbe\xe0\xa6\x95\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x8d\xe0\xa6\xa4\xe0\xa6\xbe',b'name'
b'29939632',b'bn',b'\xe0\xa6\x9c\xe0\xa6\xbe\xe0\xa6\x95\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x8d\xe0\xa6\xa4\xe0\xa6\xbe',b'name'
b'29939632',b'bn',b'\xe0\xa6\x9c\xe0\xa6\xbe\xe0\xa6\x95\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x8d\xe0\xa6\xa4\xe0\xa6\xbe',b'name'
b'29939632',b'bn',b'\xe0\xa6\x9c\xe0\xa6\xbe\xe0\xa6\x95\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x8d\xe0\xa6\xa4\xe0\xa6\xbe',b'name'
b'29939632',b'bo',b'\xe0\xbd\x8a\xe0\xbc\x8b\xe0\xbd\x81\xe0\xbd\xa2\xe0\xbc\x8b\xe0\xbd\x8f\xe0\xbc\x8d',b'name'
b'29939632',b'bo',b'\xe0\xbd\x8a\xe0\xbc\x8b\xe0\xbd\x81\xe0\xbd\xa2\xe0\xbc\x8b\xe0\xbd\x8f\xe0\xbc\x8d',b'name'
b'29939632',b'bo',b'\xe0\xbd\x8a\xe0\xbc\x8b\xe0\xbd\x81\xe0\xbd\xa2\xe0\xbc\x8b\xe0\xbd\x8f\xe0\xbc\x8d',b'name'
b'29939632',b'bo',b'\xe0\xbd\x8a\xe0\xbc\x8b\xe0\xbd\x81\xe0\xbd\xa2\xe0\xbc\x8b\xe0\xbd\x8f\xe0\xbc\x8d',b'name'
b'29939632',b'bs',b'D\xc5\xbeakarta',b'name'
b'29939632',b'bs',b'D\xc5\xbeakarta',b'name'
b'29939632',b'bs',b'D\xc5\xbeakarta',b'name'
b'29939632',b'bs',b'D\xc5\xbeakarta',b'name'
b'29939632',b'de',b'Jakarta',b'name'
b'29939632',b'de',b'Jakarta',b'name'
b'29939632',b'de',b'Jakarta',b'name'
b'29939632',b'de',b'Jakarta',b'name'
b'29939632',b'el',b'\xce\xa4\xce\xb6\xce\xb1\xce\xba\xce\xac\xcf\x81\xcf\x84\xce\xb1',b'name'
b'29939632',b'el',b'\xce\xa4\xce\xb6\xce\xb1\xce\xba\xce\xac\xcf\x81\xcf\x84\xce\xb1',b'name'
b'29939632',b'el',b'\xce\xa4\xce\xb6\xce\xb1\xce\xba\xce\xac\xcf\x81\xcf\x84\xce\xb1',b'name'
b'29939632',b'el',b'\xce\xa4\xce\xb6\xce\xb1\xce\xba\xce\xac\xcf\x81\xcf\x84\xce\xb1',b'name'
b'29939632',b'eo',b'\xc4\x9cakarto',b'name'
b'29939632',b'eo',b'\xc4\x9cakarto',b'name'
b'29939632',b'eo',b'\xc4\x9cakarto',b'name'
b'29939632',b'eo',b'\xc4\x9cakarto',b'name'
b'29939632',b'es',b'Yakarta',b'name'
b'29939632',b'es',b'Yakarta',b'name'
b'29939632',b'es',b'Yakarta',b'name'
b'29939632',b'es',b'Yakarta',b'name'
b'29939632',b'fa',b'\xd8\xac\xd8\xa7\xda\xa9\xd8\xa7\xd8\xb1\xd8\xaa\xd8\xa7',b'name'
b'29939632',b'fa',b'\xd8\xac\xd8\xa7\xda\xa9\xd8\xa7\xd8\xb1\xd8\xaa\xd8\xa7',b'name'
b'29939632',b'fa',b'\xd8\xac\xd8\xa7\xda\xa9\xd8\xa7\xd8\xb1\xd8\xaa\xd8\xa7',b'name'
b'29939632',b'fa',b'\xd8\xac\xd8\xa7\xda\xa9\xd8\xa7\xd8\xb1\xd8\xaa\xd8\xa7',b'name'
b'29939632',b'fr',b'Jakarta',b'name'
b'29939632',b'fr',b'Jakarta',b'name'
b'29939632',b'fr',b'Jakarta',b'name'
b'29939632',b'fr',b'Jakarta',b'name'
b'29939632',b'ga',b'Iac\xc3\xa1rta',b'name'
b'29939632',b'ga',b'Iac\xc3\xa1rta',b'name'
b'29939632',b'ga',b'Iac\xc3\xa1rta',b'name'
b'29939632',b'ga',b'Iac\xc3\xa1rta',b'name'
b'29939632',b'gl',b'Iacarta - Jakarta',b'name'
b'29939632',b'gl',b'Iacarta - Jakarta',b'name'
b'29939632',b'gl',b'Iacarta - Jakarta',b'name'
b'29939632',b'gl',b'Iacarta - Jakarta',b'name'
b'29939632',b'gu',b'\xe0\xaa\x9c\xe0\xaa\xbe\xe0\xaa\x95\xe0\xaa\xbe\xe0\xaa\xb0\xe0\xab\x8d\xe0\xaa\xa4\xe0\xaa\xbe',b'name'
b'29939632',b'gu',b'\xe0\xaa\x9c\xe0\xaa\xbe\xe0\xaa\x95\xe0\xaa\xbe\xe0\xaa\xb0\xe0\xab\x8d\xe0\xaa\xa4\xe0\xaa\xbe',b'name'
b'29939632',b'gu',b'\xe0\xaa\x9c\xe0\xaa\xbe\xe0\xaa\x95\xe0\xaa\xbe\xe0\xaa\xb0\xe0\xab\x8d\xe0\xaa\xa4\xe0\xaa\xbe',b'name'
b'29939632',b'gu',b'\xe0\xaa\x9c\xe0\xaa\xbe\xe0\xaa\x95\xe0\xaa\xbe\xe0\xaa\xb0\xe0\xab\x8d\xe0\xaa\xa4\xe0\xaa\xbe',b'name'
b'29939632',b'he',"b""\xd7\x92'\xd7\xa7\xd7\xa8\xd7\x98\xd7\x94""",b'name'
b'29939632',b'he',"b""\xd7\x92'\xd7\xa7\xd7\xa8\xd7\x98\xd7\x94""",b'name'
b'29939632',b'he',"b""\xd7\x92'\xd7\xa7\xd7\xa8\xd7\x98\xd7\x94""",b'name'
b'29939632',b'he',"b""\xd7\x92'\xd7\xa7\xd7\xa8\xd7\x98\xd7\x94""",b'name'
b'29939632',b'hi',b'\xe0\xa4\x9c\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe',b'name'
b'29939632',b'hi',b'\xe0\xa4\x9c\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe',b'name'
b'29939632',b'hi',b'\xe0\xa4\x9c\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe',b'name'
b'29939632',b'hi',b'\xe0\xa4\x9c\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe',b'name'
b'29939632',b'hy',b'\xd5\x8b\xd5\xa1\xd5\xaf\xd5\xa1\xd6\x80\xd5\xbf\xd5\xa1',b'name'
b'29939632',b'hy',b'\xd5\x8b\xd5\xa1\xd5\xaf\xd5\xa1\xd6\x80\xd5\xbf\xd5\xa1',b'name'
b'29939632',b'hy',b'\xd5\x8b\xd5\xa1\xd5\xaf\xd5\xa1\xd6\x80\xd5\xbf\xd5\xa1',b'name'
b'29939632',b'hy',b'\xd5\x8b\xd5\xa1\xd5\xaf\xd5\xa1\xd6\x80\xd5\xbf\xd5\xa1',b'name'
b'29939632',b'id',b'Daerah Khusus Ibukota Jakarta',b'name'
b'29939632',b'id',b'Daerah Khusus Ibukota Jakarta',b'name'
b'29939632',b'id',b'Daerah Khusus Ibukota Jakarta',b'name'
b'29939632',b'id',b'Daerah Khusus Ibukota Jakarta',b'name'
b'29939632',b'is',b'Djakarta',b'name'
b'29939632',b'is',b'Djakarta',b'name'
b'29939632',b'is',b'Djakarta',b'name'
b'29939632',b'is',b'Djakarta',b'name'
b'29939632',b'it',b'Giacarta',b'name'
b'29939632',b'it',b'Giacarta',b'name'
b'29939632',b'it',b'Giacarta',b'name'
b'29939632',b'it',b'Giacarta',b'name'
b'29939632',b'ja',b'\xe3\x82\xb8\xe3\x83\xa3\xe3\x82\xab\xe3\x83\xab\xe3\x82\xbf',b'name'
b'29939632',b'ja',b'\xe3\x82\xb8\xe3\x83\xa3\xe3\x82\xab\xe3\x83\xab\xe3\x82\xbf',b'name'
b'29939632',b'ja',b'\xe3\x82\xb8\xe3\x83\xa3\xe3\x82\xab\xe3\x83\xab\xe3\x82\xbf',b'name'
b'29939632',b'ja',b'\xe3\x82\xb8\xe3\x83\xa3\xe3\x82\xab\xe3\x83\xab\xe3\x82\xbf',b'name'
b'29939632',b'ka',b'\xe1\x83\xaf\xe1\x83\x90\xe1\x83\x99\xe1\x83\x90\xe1\x83\xa0\xe1\x83\xa2\xe1\x83\x90',b'name'
b'29939632',b'ka',b'\xe1\x83\xaf\xe1\x83\x90\xe1\x83\x99\xe1\x83\x90\xe1\x83\xa0\xe1\x83\xa2\xe1\x83\x90',b'name'
b'29939632',b'ka',b'\xe1\x83\xaf\xe1\x83\x90\xe1\x83\x99\xe1\x83\x90\xe1\x83\xa0\xe1\x83\xa2\xe1\x83\x90',b'name'
b'29939632',b'ka',b'\xe1\x83\xaf\xe1\x83\x90\xe1\x83\x99\xe1\x83\x90\xe1\x83\xa0\xe1\x83\xa2\xe1\x83\x90',b'name'
b'29939632',b'kk',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
b'29939632',b'kk',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
b'29939632',b'kk',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
b'29939632',b'kk',b'\xd0\x94\xd0\xb6\xd0\xb0\xd0\xba\xd0\xb0\xd1\x80\xd1\x82\xd0\xb0',b'name'
